Country;City;Km (section);Km (cuml.);Connection
GB;Larne;0;0;E18
GB;Belfast;36;36;E16, E18
IRL;Dublin;165;201;E20
IRL;Wexford;140;341;E30
IRL;Rosslare;19;360;E30
E;La Coruña;1002;1362;E70
E;Pontevedra;128;1490; 
P;Valença do Minho;57;1547; 
P;Porto;115;1663;E82
P;Aveiro;67;1730;E80
P;Coimbra;61;1791;E80, E801
P;Lisboa;199;1990;E80, E90
P;Setúbal;46;2036;E90
P;Faro;262;2298; 
P;Vila Real de Santo António;57;2356; 
E;Huelva;62;2418; 
E;Sevilla;91;2509;E05, E803
Country;City;Km (section);Km (cuml.);Connection
F;Cherbourg;0;0;E46
F;Rennes;205;205;E50
F;Nantes;112;317;E60, E62
F;La Rochelle;143;459;E601, E602
Country;City;Km (section);Km (cuml.);Connection
S;Helsingborg;0;0;E55, E20, E47
S;Jönköping;241;241; 
S;Norrköping;170;411;E22
S;Södertälje;130;541;E20
S;Stockholm;32;573;E20, E18
S;Sundsvall;387;960;E14
S;Umeå;281;1241;E12
S;Luleå;274;1515;E10
S;Haparanda;134;1649; 
FIN;Tornio;6;1655;E08
FIN;Kemi;33;1688;E75
Country;City;Km (section);Km (cuml.);Connection
GB;Greenock;0;0; 
GB;Glasgow;40;40;E16
GB;Gretna;142;182;E18
GB;Carlisle;16;197;E18
GB;Penrith;40;237; 
GB;Preston;109;346; 
GB;Warrington;49;396;E22
GB;Birmingham;128;523;E24
GB;Newbury;166;689; 
GB;Southampton;71;760; 
F;Le Havre;207;967;E44
F;Paris;196;1163;E15, E50, E19, E54
F;Orléans;134;1297;E60, E09
F;Tours;118;1415;E60, E502, E604
F;Poitiers;101;1516;E62
F;Bordeaux;256;1773;E70, E72, E606
E;San Sebastián;243;2015;E70, E80
E;Burgos;246;2261;E80
E;Madrid;250;2511;E90, E901
E;Cordóba;391;2902; 
E;Sevilla;141;3043;E01, E803
E;Cádiz;122;3165; 
E;Algeciras;117;3281;E15
Country;City;Km (section);Km (cuml.);Connection
S;Trelleborg;0;0;E22
S;Malmö;27;27;E65, E20, E22
S;Halmstad;140;167;E20
S;Göteborg;136;304;E45, E20
N;Oslo;314;618;E16, E18
N;Lillehammer;178;796; 
N;Trondheim;352;1147;E39, E14
N;Narvik;887;2034;E10
N;Olderfjord;612;2646;E69
N;Karasjok;138;2783; 
N;Kirkenes;267;3050;E105
Country;City;Km (section);Km (cuml.);Connection
F;Pau;0;0;E80
E;Jaça;115;115; 
E;Huesca;73;187; 
E;Zaragoza;72;259;E90, E804
Country;City;Km (section);Km (cuml.);Connection
N;Tromsø;0;0; 
N;Nordkjosbotn;70;70; 
N;Skibotn;48;118; 
FIN;Kilpisjärvi;44;162; 
FIN;Tornio;457;619;E04
Country;City;Km (section);Km (cuml.);Connection
F;Orléans;0;0;E05, E60
F;Limoges;277;277;E603
F;Toulouse;299;575;E80, E72
E;Barcelona;391;967;E15, E90
Country;City;Km (section);Km (cuml.);Connection
N;Kirkenes;0;0;E06
RUS;Murmansk;243;243; 
RUS;Petrozavodsk;948;1191; 
RUS;Sankt-Peterburg;415;1606;E95, E20, E18
RUS;Moskva;717;2323;E115, E30
RUS;Orel;357;2680;E381
UA;Charkov;379;3059;E40
UA;Simferopol;649;3708; 
UA;Alushta;43;3751; 
UA;Jalta;43;3795; 
Country;City;Km (section);Km (cuml.);Connection
N;Å;0;0; 
N;Narvik;400;400;E06
S;Kiruna;175;575; 
S;Luleå;350;924;E04
Country;City;Km (section);Km (cuml.);Connection
RUS;Moskva;0;0;E105, E30
RUS;Rostov-na-Donu;1066;1066;E40, E97
RUS;Stavropol;411;1476; 
RUS;MachaÄkala;624;2100;Â 
AZ;Baku;400;2500; 
 ;*Iran*;307;2807; 
Country;City;Km (section);Km (cuml.);Connection
F;Vierzon;0;0;E604
F;Montluçon;121;121; 
F;Clermont-Ferrand;114;235;E70
F;Montpellier;335;570; 
Country;City;Km (section);Km (cuml.);Connection
N;Mo i Rana;0;0; 
S;Umeå;475;475;E04
FIN;Vaasa;118;592; 
FIN;Tampere;240;832;E63
FIN;Helsinki;177;1009;E75, E67, E18
Country;City;Km (section);Km (cuml.);Connection
N;Haugesund;0;0; 
N;Haukeligrend;188;188; 
N;Drammen;214;402; 
Country;City;Km (section);Km (cuml.);Connection
N;Ålesund;0;0;E39
N;Andalsnes;119;119; 
N;Dombås;104;223; 
Country;City;Km (section);Km (cuml.);Connection
GB;Doncaster;0;0;E15, E22
GB;Sheffield;38;38; 
GB;Nottingham;74;112; 
GB;Leicester;43;154; 
GB;Northampton;63;218; 
GB;London;110;328;E15, E30
Country;City;Km (section);Km (cuml.);Connection
N;Trondheim;0;0;E39, E06
S;Storlien;103;103; 
S;Ostersund;159;262; 
S;Sundsvall;186;448;E04
Country;City;Km (section);Km (cuml.);Connection
GB;Inverness;0;0; 
GB;Perth;182;182; 
GB;Edinburgh;68;251;E16
GB;Newcastle upon Tyne;183;434;E18
GB;Scotch Corner;73;507; 
GB;Doncaster;118;625;E13, E22
GB;London;277;902;E30, E13
GB;Folkestone;112;1014; 
GB;Dover;11;1025; 
F;Calais;42;1068;E40, E402
F;Paris;291;1358;E05, E50, E19, E54
F;Lyon;467;1825;E70, E611, E711
F;Orange;204;2029;E714
F;Narbonne;191;2220;E80
E;Gerona;153;2373; 
E;Barcelona;102;2475;E90, E09
E;Tarragona;112;2586; 
E;Castellón de la Plana;188;2774; 
E;Valencia;74;2849;E901
E;Alicante;173;3022; 
E;Murcia;80;3102; 
E;Algeciras;525;3627;E05
Country;City;Km (section);Km (cuml.);Connection
GB;Londonderry;0;0; 
GB;Belfast;115;115;E01, E18
GB;Glasgow;239;355;E05
GB;Edinburgh;75;429;E15
N;Bergen;702;1131;E39
N;Fagernes;365;1496; 
N;Oslo;182;1679;E06, E18
Country;City;Km (section);Km (cuml.);Connection
B;Antwerpen;0;0;E19, E34, E313
B;Gent;58;58;E40
B;Kortrijk;49;107;E403
F;Cambrai;104;211; 
F;Reims;147;357;E50, E46, E420
F;Beaune;339;696;E60
Country;City;Km (section);Km (cuml.);Connection
GB;Craigavon;0;0; 
GB;Belfast;38;38;E01, E16
GB;Larne;36;74;E01
GB;Stranraer;70;144; 
GB;Gretna;153;297;E05
GB;Carlisle;16;313;E05
GB;Newcastle upon Tyne;114;427;E15
N;Kristiansand;684;1111;E39
N;Oslo;323;1434;E06, E16
S;Örebro;336;1770;E20
S;Arboga;42;1811;E20
S;Västeras;57;1868; 
S;Stockholm;108;1977;E20, E04
S;Kapellskär;93;2070; 
FIN;Mariehamn;65;2135; 
FIN;Naantali;154;2289; 
FIN;Turku;15;2304;E63
FIN;Helsinki;167;2471;E75, E67, E12
FIN;Vaalimaa;191;2662; 
RUS;Sankt-Peterburg;205;2867;E95, E105, E20
Country;City;Km (section);Km (cuml.);Connection
